tick,num_nodes,num_edges,total_mass,mass_variance,kinetic_energy,potential_energy,total_energy,total_momentum_scalar,total_momentum_algebraic,vorticity_global
190,1940,3891,469.72836649152623,0.4642216490483472,4981954355.85422,11211.506140340323,4981965567.360361,19003.23556370943,0,1.2455692928459632
191,1940,3892,469.7697738460259,0.46689301167859,5253996552.482088,11418.889310212657,5254007971.371398,22896.55011526331,0,1.4855123456311032
192,1950,3901,469.82796155043417,0.40396695754847134,4914707563.230853,10744.990214218244,4914718308.221067,19295.17072570376,0,1.346181451737786
193,1934,3883,469.8088808919349,0.3799975937926679,4862060851.148619,10550.581373404284,4862071401.729992,23137.60923195073,0,0.9819931816452953
194,1930,3877,469.8475207803747,0.4031072326033572,4961595277.445483,10473.703633933606,4961605751.149117,19383.434197506267,0,1.0562930102775192
195,1931,3880,469.8067751030127,0.3167037534568284,5402178598.883635,9510.318377927611,5402188109.202012,22960.72438276486,0,0.4503362137061208
196,1915,3865,469.7699759088113,0.4152676693851391,4869456047.520693,10695.629831063396,4869466743.150524,19276.107595343557,0,1.0749572374411125
197,1919,3868,469.8430217887477,0.4119114105675068,5313660082.565127,10566.515308837088,5313670649.080436,24016.778865713033,0,1.0216218609177303
198,1909,3858,469.8195833164476,0.3854424177612194,4562558458.05356,10305.597632587142,4562568763.651193,19513.31836411795,0,1.516433686888305
199,1911,3858,469.8416600115116,0.4097711062114122,4808960935.932467,10851.515347712468,4808971787.447815,23486.494727179605,0,1.8931844986311492
200,1914,3859,469.906411609314,0.3614248886250813,5095065485.361685,10003.79299483601,5095075489.154679,19590.780213771388,0,1.902028732750247
201,1916,3865,469.92212782403755,0.2449009288021305,52278786326.47867,8564.953924605887,52278794891.4326,24414.306181853968,0,0.8929594740000544
202,1908,3857,469.7748124405989,0.40277880473877226,4470550327.33465,10430.113724462091,4470560757.448375,18225.41853643515,0,1.5140369562092006
203,1921,3871,469.86745726668096,0.40374465120206326,8994813369.729906,10873.615784400869,8994824243.34569,28726.184493487395,0,0.13692600825916823
