tick,n1,n2,total_mass
268,89,3628,214.7022635911681
269,88,3544,207.2687612555885
270,86,3445,203.50461738351171
271,92,3338,206.7449193338776
272,95,3216,214.74282181867449
273,103,3124,212.75024852944367
274,115,3026,209.16186279013056
275,131,2896,224.32822380423897
276,147,2777,241.03967275084324
277,164,2664,261.2279266962378
278,188,2541,282.8927016685858
279,204,2433,302.12041210732673
280,227,2326,325.12327537717397
281,278,2231,348.61311603116815
282,291,2136,373.83405119490703
283,338,2047,396.633424069751
284,368,1970,423.8163977336794
285,412,1897,449.2453022632883
286,470,1812,475.039883829369
287,506,1742,503.0729087264
288,574,1675,529.3424350393316
289,612,1582,557.1148465583402
290,685,1517,585.4659286718644
291,723,1419,613.3635008769197
292,796,1352,640.8941624951799
293,842,1273,667.1306520482494
294,914,1195,693.6792547066647
295,956,1118,720.6531187788274
296,1017,1038,744.5217734692668
297,1047,962,771.7113046150503
298,1112,893,795.095724467349
299,1141,821,821.2669351637189
300,1197,768,847.3100942099104
