Step | S_RX0 rho / p | P_Bus0 rho / p | Val0 Bridge (S9) | Val0 Hub (S0) | Val0 Spoke (S1)
-----------------------------------------------------------------------------------------
 102 | 295.5/5.52  |  14.8/5.52  |  14.822/5.52 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
 103 | 295.5/5.52  |  14.8/5.53  |  14.822/5.52 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
 104 | 295.5/5.52  |  14.8/5.53  |  14.822/5.52 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
 105 | 295.5/5.52  |  14.8/5.53  |  14.822/5.52 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
 106 | 295.5/5.52  |  14.8/5.52  |  14.822/5.52 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
 107 | 295.5/5.52  |  14.8/5.52  |  14.822/5.52 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
 108 | 295.5/5.52  |  14.8/5.52  |  14.823/5.52 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
 109 | 295.6/5.52  |  14.8/5.52  |  14.823/5.52 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
 110 | 295.6/5.52  |  14.8/5.52  |  14.824/5.52 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
 111 | 295.6/5.52  |  14.8/5.52  |  14.824/5.52 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
 112 | 295.6/5.52  |  14.8/5.52  |  14.825/5.52 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
 113 | 295.6/5.52  |  14.8/5.52  |  14.825/5.52 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
 114 | 295.6/5.52  |  14.8/5.52  |  14.826/5.52 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
 115 | 295.6/5.52  |  14.8/5.52  |  14.827/5.52 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
 116 | 295.7/5.52  |  14.8/5.52  |  14.827/5.52 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
 117 | 295.7/5.52  |  14.8/5.52  |  14.828/5.52 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
 118 | 295.7/5.52  |  14.8/5.52  |  14.828/5.52 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
 119 | 295.7/5.52  |  14.8/5.52  |  14.829/5.52 (sm=1.0) |  450.0/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
