schema,runId,runIndex,repIndex,capLawHash,pressCUsed,dampUsed,want_basin_id,latched_basin,psi_trim,tick,tMs,lateByMs,basin,max1_from,max1_to,max1_absFlux,max2_from,max2_to,max2_absFlux,flux_114_89,flux_114_79,flux_136_89,flux_136_79,flux_89_79,handshake_pending,handshake_applied_tick
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-48-290Z_r00000_d4.000_b82_t+0.05_rep1,0,1,9dbcb7d6,2.0,4.0,82,82,0.05,59,11800,0.0,82,114,89,0.036253,114,79,0.036249,0.036253,0.036249,0.029639,0.029635,-0.000004,1,15
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-48-290Z_r00000_d4.000_b82_t+0.05_rep1,0,1,9dbcb7d6,2.0,4.0,82,82,0.05,60,12000,0.0,82,114,89,0.034515,114,79,0.034511,0.034515,0.034511,0.028231,0.028227,-0.000004,1,15
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-49-921Z_r00001_d6.000_b90_t+0.05_rep1,1,1,9dbcb7d6,2.0,6.0,90,90,0.05,0,0,0.0,90,90,114,0.216393,90,89,0.216130,0.000338,0.000337,0.033914,0.033913,-0.000002,0,
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-49-921Z_r00001_d6.000_b90_t+0.05_rep1,1,1,9dbcb7d6,2.0,6.0,90,90,0.05,1,200,0.0,90,90,89,0.214869,90,79,0.214868,0.030763,0.030761,0.061779,0.061778,-0.000002,0,
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-49-921Z_r00001_d6.000_b90_t+0.05_rep1,1,1,9dbcb7d6,2.0,6.0,90,90,0.05,2,400,0.0,90,90,89,0.212237,90,79,0.212236,0.055760,0.055758,0.084449,0.084447,-0.000002,0,
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-49-921Z_r00001_d6.000_b90_t+0.05_rep1,1,1,9dbcb7d6,2.0,6.0,90,90,0.05,3,600,0.0,90,90,89,0.208482,90,79,0.208480,0.076061,0.076059,0.102636,0.102635,-0.000002,0,
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-49-921Z_r00001_d6.000_b90_t+0.05_rep1,1,1,9dbcb7d6,2.0,6.0,90,90,0.05,4,800,0.0,90,90,89,0.203819,90,79,0.203818,0.092311,0.092309,0.116966,0.116964,-0.000002,0,
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-49-921Z_r00001_d6.000_b90_t+0.05_rep1,1,1,9dbcb7d6,2.0,6.0,90,90,0.05,5,1000,0.0,90,90,89,0.198435,90,79,0.198433,0.105074,0.105072,0.127986,0.127984,-0.000002,0,
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-49-921Z_r00001_d6.000_b90_t+0.05_rep1,1,1,9dbcb7d6,2.0,6.0,90,90,0.05,6,1200,0.0,90,90,89,0.192489,90,79,0.192487,0.114846,0.114843,0.136175,0.136173,-0.000002,0,
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-49-921Z_r00001_d6.000_b90_t+0.05_rep1,1,1,9dbcb7d6,2.0,6.0,90,90,0.05,7,1400,0.0,90,90,89,0.186119,90,79,0.186117,0.122060,0.122058,0.141953,0.141950,-0.000002,0,
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-49-921Z_r00001_d6.000_b90_t+0.05_rep1,1,1,9dbcb7d6,2.0,6.0,90,90,0.05,8,1600,0.0,90,90,89,0.179442,90,79,0.179440,0.127096,0.127094,0.145683,0.145681,-0.000002,0,
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-49-921Z_r00001_d6.000_b90_t+0.05_rep1,1,1,9dbcb7d6,2.0,6.0,90,90,0.05,9,1800,0.0,90,90,89,0.172560,90,79,0.172558,0.130287,0.130284,0.147687,0.147685,-0.000003,0,
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-49-921Z_r00001_d6.000_b90_t+0.05_rep1,1,1,9dbcb7d6,2.0,6.0,90,90,0.05,10,2000,0.0,90,90,89,0.165557,90,79,0.165554,0.131920,0.131918,0.148241,0.148239,-0.000003,0,
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-49-921Z_r00001_d6.000_b90_t+0.05_rep1,1,1,9dbcb7d6,2.0,6.0,90,90,0.05,11,2200,0.0,90,90,89,0.158505,90,79,0.158502,0.132250,0.132247,0.147587,0.147585,-0.000003,0,
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-49-921Z_r00001_d6.000_b90_t+0.05_rep1,1,1,9dbcb7d6,2.0,6.0,90,90,0.05,12,2400,0.0,90,90,89,0.151432,90,79,0.151429,0.131494,0.131491,0.145924,0.145921,-0.000003,0,
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-49-921Z_r00001_d6.000_b90_t+0.05_rep1,1,1,9dbcb7d6,2.0,6.0,90,90,0.05,13,2600,0.0,90,90,89,0.144381,90,79,0.144378,0.129844,0.129841,0.143429,0.143426,-0.000003,0,
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-49-921Z_r00001_d6.000_b90_t+0.05_rep1,1,1,9dbcb7d6,2.0,6.0,90,90,0.05,14,2800,0.0,90,136,89,0.140260,136,79,0.140257,0.127465,0.127462,0.140260,0.140257,-0.000003,1,
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-49-921Z_r00001_d6.000_b90_t+0.05_rep1,1,1,9dbcb7d6,2.0,6.0,90,90,0.05,15,3000,0.0,90,136,89,0.136554,136,79,0.136551,0.130643,0.130640,0.136554,0.136551,-0.000003,1,15
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-49-921Z_r00001_d6.000_b90_t+0.05_rep1,1,1,9dbcb7d6,2.0,6.0,90,90,0.05,16,3200,0.0,90,136,89,0.132431,136,79,0.132428,0.132263,0.132260,0.132431,0.132428,-0.000003,1,15
sol_phase311_16z_bridgeControlSweep_v1,2026-06-04T16-45-49-921Z_r00001_d6.000_b90_t+0.05_rep1,1,1,9dbcb7d6,2.0,6.0,90,90,0.05,17,3400,0.0,90,114,89,0.132577,114,79,0.132573,0.132577,0.132573,0.127990,0.127987,-0.000003,1,15
