schema,runId,runIndex,repIndex,capLawHash,pressCUsed,dampUsed,tick,tMs,lateByMs,basin,max1_from,max1_to,max1_absFlux,max2_from,max2_to,max2_absFlux,flux_114_89,flux_114_79,flux_136_89,flux_136_79,flux_89_79,handshake_pending,handshake_applied_tick
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-31-179Z_r00001_d10.000_rep12,1,12,9dbcb7d6,2.0,10,18,3600,0.0,82,114,89,0.089645,114,79,0.089643,0.089645,0.089643,0.076085,0.076083,-0.000002,1,6
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-31-179Z_r00001_d10.000_rep12,1,12,9dbcb7d6,2.0,10,19,3800,0.0,82,114,89,0.084277,114,79,0.084276,0.084277,0.084276,0.071079,0.071077,-0.000002,1,6
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-31-179Z_r00001_d10.000_rep12,1,12,9dbcb7d6,2.0,10,20,4000,0.0,82,114,89,0.078964,114,79,0.078962,0.078964,0.078962,0.066224,0.066222,-0.000002,1,6
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-31-179Z_r00001_d10.000_rep12,1,12,9dbcb7d6,2.0,10,21,4200,0.0,82,114,89,0.073761,114,79,0.073760,0.073761,0.073760,0.061550,0.061548,-0.000002,1,6
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-31-179Z_r00001_d10.000_rep12,1,12,9dbcb7d6,2.0,10,22,4400,0.0,82,114,89,0.068712,114,79,0.068711,0.068712,0.068711,0.057077,0.057076,-0.000002,1,6
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-31-179Z_r00001_d10.000_rep12,1,12,9dbcb7d6,2.0,10,23,4600,0.0,82,114,89,0.063849,114,79,0.063847,0.063849,0.063847,0.052821,0.052820,-0.000002,1,6
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-31-179Z_r00001_d10.000_rep12,1,12,9dbcb7d6,2.0,10,24,4800,0.0,82,114,89,0.059194,114,79,0.059192,0.059194,0.059192,0.048790,0.048788,-0.000002,1,6
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-31-179Z_r00001_d10.000_rep12,1,12,9dbcb7d6,2.0,10,25,5000,0.0,82,114,89,0.054763,114,79,0.054762,0.054763,0.054762,0.044987,0.044986,-0.000002,1,6
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-31-179Z_r00001_d10.000_rep12,1,12,9dbcb7d6,2.0,10,26,5200,0.0,82,114,89,0.050566,114,79,0.050565,0.050566,0.050565,0.041413,0.041411,-0.000002,1,6
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-31-179Z_r00001_d10.000_rep12,1,12,9dbcb7d6,2.0,10,27,5400,0.0,82,114,89,0.046607,114,79,0.046606,0.046607,0.046606,0.038065,0.038063,-0.000002,1,6
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-31-179Z_r00001_d10.000_rep12,1,12,9dbcb7d6,2.0,10,28,5600,0.0,82,114,89,0.042887,114,79,0.042886,0.042887,0.042886,0.034937,0.034936,-0.000001,1,6
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-31-179Z_r00001_d10.000_rep12,1,12,9dbcb7d6,2.0,10,29,5800,0.0,82,114,89,0.039403,114,79,0.039401,0.039403,0.039401,0.032025,0.032023,-0.000001,1,6
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-31-179Z_r00001_d10.000_rep12,1,12,9dbcb7d6,2.0,10,30,6000,0.0,82,114,89,0.036149,114,79,0.036148,0.036149,0.036148,0.029318,0.029316,-0.000001,1,6
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-31-179Z_r00001_d10.000_rep12,1,12,9dbcb7d6,2.0,10,31,6200,0.0,82,114,89,0.033119,114,79,0.033118,0.033119,0.033118,0.026810,0.026809,-0.000001,1,6
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-31-179Z_r00001_d10.000_rep12,1,12,9dbcb7d6,2.0,10,32,6400,0.0,82,114,89,0.030305,114,79,0.030303,0.030305,0.030303,0.024494,0.024493,-0.000001,1,6
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-31-179Z_r00001_d10.000_rep12,1,12,9dbcb7d6,2.0,10,33,6600,0.0,82,114,89,0.027696,114,79,0.027695,0.027696,0.027695,0.022360,0.022358,-0.000001,1,6
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-31-179Z_r00001_d10.000_rep12,1,12,9dbcb7d6,2.0,10,34,6800,0.0,82,114,89,0.025284,114,79,0.025283,0.025284,0.025283,0.020394,0.020393,-0.000001,1,6
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-31-179Z_r00001_d10.000_rep12,1,12,9dbcb7d6,2.0,10,35,7000,0.0,82,114,89,0.023057,114,79,0.023056,0.023057,0.023056,0.018587,0.018586,-0.000001,1,6
